age,monthly_salary,years_at_company,satisfaction_score,training_hours,overtime,department,left_company
38,6836,4,9.6,17,No,IT,0
40,4354,15,3.2,17,No,Sales,0
40,6013,9,1.9,17,No,IT,0
52,7498,12,7.8,41,No,IT,0
24,10750,7,8.9,55,No,Sales,0
25,13318,13,3.5,55,No,IT,0
32,4630,1,2.8,45,No,Finance,1
40,9600,1,2.7,12,No,HR,0
48,5586,8,5.7,58,Yes,Finance,1
41,9829,11,5.2,33,No,IT,0
39,8133,12,3.3,33,No,IT,0
58,3373,7,1.4,42,Yes,IT,1
28,11099,10,5.3,46,Yes,IT,1
44,6806,8,9.6,58,No,HR,0
43,7005,15,6.9,35,Yes,Sales,1
40,5505,10,5.5,37,No,IT,0
53,6668,6,2.0,45,No,Finance,0
32,9698,15,3.3,15,No,Sales,0
59,7970,1,3.7,18,Yes,IT,0
34,9420,15,7.9,38,No,IT,0
43,9513,2,8.9,3,No,Sales,0
42,12198,4,9.1,19,No,Finance,0
55,7540,13,9.9,43,Yes,IT,0
39,4365,11,9.8,59,No,HR,0
33,11488,15,9.6,31,No,HR,0
22,7572,11,1.6,24,Yes,Finance,0
